Tempo,Temperatura
0,24
1,24
2,24
3,24
4,-7
5,-7
6,-7
7,-15
8,-40
9,-27
10,-24
11,-30
12,-10
13,-13
14,-13
15,-4
16,7
17,13
18,39
19,5
20,41
21,43
22,5
23,61
24,53
25,66
26,66
27,81
28,98
29,78
30,81
31,81
32,58
33,7
34,76
35,89
36,104
37,104
38,104
39,125
40,121
41,115
42,106
43,98
44,78
45,89
46,81
47,58
48,78
49,95
50,81
51,81
52,63
53,81
54,95
55,86
56,93
57,7
58,58
59,73
