Time,Distance,RPM
0.000,0.000,6491.209961
0.100,0.004,6492.990234
0.200,0.009,6540.060059
0.300,0.013,6546.000000
0.400,0.018,6546.000000
0.500,0.022,6020.899902
0.600,0.027,5699.680176
0.700,0.032,5479.319824
0.800,0.036,5428.720215
0.900,0.041,5425.000000
1.000,0.046,5463.720215
1.100,0.050,5526.200195
1.200,0.055,5522.560059
1.300,0.060,5590.520020
1.400,0.065,5588.560059
1.500,0.070,5609.879883
1.600,0.074,5655.240234
1.700,0.079,5690.919922
1.800,0.084,5682.680176
1.900,0.089,5780.439941
2.000,0.094,5750.000000
2.100,0.099,5762.479980
2.200,0.104,5937.259766
2.300,0.109,5809.879883
2.400,0.114,5855.729980
2.500,0.119,5918.200195
2.600,0.124,5939.049805
2.700,0.130,5934.040039
2.800,0.135,5992.160156
2.900,0.140,5987.950195
3.000,0.145,6006.009766
3.100,0.150,6042.930176
3.200,0.156,6048.000000
3.300,0.161,6166.319824
3.400,0.166,6038.709961
3.500,0.172,6126.620117
3.600,0.177,6361.370117
3.700,0.182,6157.500000
3.800,0.188,6160.279785
3.900,0.193,6296.000000
4.000,0.199,6223.259766
4.100,0.204,6251.000000
4.200,0.210,6294.120117
4.300,0.215,6285.379883
4.400,0.221,6319.120117
4.500,0.226,6377.459961
4.600,0.232,6461.680176
4.700,0.237,6390.580078
4.800,0.243,6407.100098
4.900,0.249,6180.660156
5.000,0.254,6307.259766
5.100,0.260,6074.279785
5.200,0.266,5897.700195
5.300,0.271,5733.750000
5.400,0.277,5645.250000
5.500,0.283,5662.899902
5.600,0.288,5372.200195
5.700,0.294,5479.799805
5.800,0.299,5272.549805
5.900,0.305,5124.750000
6.000,0.310,5758.799805
6.100,0.315,5861.250000
6.200,0.320,5853.049805
6.300,0.325,5597.850098
6.400,0.330,5514.750000
6.500,0.335,5546.250000
6.600,0.339,5205.240234
6.700,0.344,5411.160156
6.800,0.348,5441.160156
6.900,0.352,5379.879883
7.000,0.357,5384.120117
7.100,0.361,5241.680176
7.200,0.365,5179.560059
7.300,0.369,5183.080078
7.400,0.373,5190.040039
7.500,0.377,5166.640137
7.600,0.381,5128.399902
7.700,0.385,5094.279785
7.800,0.389,5047.839844
7.900,0.393,5008.080078
8.000,0.396,4984.359863
8.100,0.400,4932.859863
8.200,0.404,4888.970215
8.300,0.408,4857.100098
8.400,0.411,4818.799805
8.500,0.415,4783.779785
8.600,0.419,4741.479980
8.700,0.422,4790.439941
8.800,0.426,4847.649902
8.900,0.429,4795.580078
9.000,0.433,4790.470215
9.100,0.437,4796.149902
9.200,0.440,4789.529785
9.300,0.443,4783.850098
9.400,0.447,4778.850098
9.500,0.450,4797.680176
9.600,0.454,4814.299805
9.700,0.457,4858.000000
9.800,0.461,4892.419922
9.900,0.464,4927.520020
10.000,0.468,4968.439941
10.100,0.471,4958.779785
10.200,0.475,5011.580078
10.300,0.478,5019.080078
10.400,0.481,5054.080078
10.500,0.485,5102.180176
10.600,0.489,5129.859863
10.700,0.492,5175.819824
10.800,0.496,5242.399902
10.900,0.499,5323.060059
11.000,0.503,5303.979980
11.100,0.507,5359.990234
11.200,0.510,5370.140137
11.300,0.514,5403.830078
11.400,0.518,5473.560059
11.500,0.522,5457.220215
11.600,0.525,5486.450195
11.700,0.529,5590.580078
11.800,0.533,5673.750000
11.900,0.537,5716.350098
12.000,0.541,5700.319824
12.100,0.545,5746.029785
12.200,0.549,5781.490234
12.300,0.553,5804.009766
12.400,0.557,5867.129883
12.500,0.561,5922.600098
12.600,0.565,5933.000000
12.700,0.570,6025.000000
12.800,0.574,6092.000000
12.900,0.578,6059.000000
13.000,0.582,6339.200195
13.100,0.587,6052.799805
13.200,0.591,5704.600098
13.300,0.596,5037.600098
13.400,0.600,4983.799805
13.500,0.604,5028.799805
13.600,0.609,5047.600098
13.700,0.613,5059.799805
13.800,0.618,5070.799805
13.900,0.622,5099.069824
14.000,0.626,5101.259766
14.100,0.631,5113.430176
14.200,0.635,5060.120117
14.300,0.640,5019.720215
14.400,0.644,5034.330078
14.500,0.649,5022.620117
14.600,0.653,5001.410156
14.700,0.658,5018.330078
14.800,0.662,5006.620117
14.900,0.667,5002.000000
15.000,0.671,4998.049805
15.100,0.676,4988.310059
15.200,0.680,4982.049805
15.300,0.684,4960.459961
15.400,0.689,4955.000000
15.500,0.693,4955.000000
15.600,0.698,4958.899902
15.700,0.702,4963.899902
15.800,0.706,5006.339844
15.900,0.711,5043.740234
16.000,0.715,5046.319824
16.100,0.720,5053.580078
16.200,0.724,5056.000000
16.300,0.728,4865.680176
16.400,0.733,4890.779785
16.500,0.737,4818.620117
16.600,0.742,4769.379883
16.700,0.746,4653.020020
16.800,0.751,4622.000000
16.900,0.755,5095.549805
17.000,0.759,5277.810059
17.100,0.764,5152.169922
17.200,0.768,5027.069824
17.300,0.772,4814.120117
17.400,0.776,4534.700195
17.500,0.780,4394.080078
17.600,0.784,5088.100098
17.700,0.788,5593.830078
17.800,0.792,5532.390137
17.900,0.795,5405.609863
18.000,0.799,5352.509766
18.100,0.803,5239.279785
18.200,0.806,5061.700195
18.300,0.809,4865.240234
18.400,0.813,4882.359863
18.500,0.816,4864.240234
18.600,0.819,4773.720215
18.700,0.822,4726.959961
18.800,0.825,4691.120117
18.900,0.827,4592.319824
19.000,0.830,4402.879883
19.100,0.833,4345.919922
19.200,0.835,4292.319824
19.300,0.838,4291.200195
19.400,0.840,4257.240234
19.500,0.843,4347.600098
19.600,0.845,4367.839844
19.700,0.847,4401.240234
19.800,0.850,4407.000000
19.900,0.852,4396.000000
20.000,0.854,4507.750000
20.100,0.856,4400.500000
20.200,0.859,4370.000000
20.300,0.861,4397.750000
20.400,0.863,4383.250000
20.500,0.866,4382.000000
20.600,0.868,4424.500000
20.700,0.870,4438.000000
20.800,0.872,4426.000000
20.900,0.875,4440.750000
21.000,0.877,4524.250000
21.100,0.879,4560.500000
21.200,0.882,4600.259766
21.300,0.884,4633.720215
21.400,0.886,4643.959961
21.500,0.888,4693.839844
21.600,0.891,4789.439941
21.700,0.893,4805.899902
21.800,0.896,4853.799805
21.900,0.898,4917.879883
22.000,0.900,4996.160156
22.100,0.903,5070.540039
22.200,0.905,5172.620117
22.300,0.908,5262.680176
22.400,0.910,5388.339844
22.500,0.913,5476.799805
22.600,0.915,5543.100098
22.700,0.918,5584.089844
22.800,0.921,5617.819824
22.900,0.924,5681.750000
23.000,0.926,5816.609863
23.100,0.929,5826.879883
23.200,0.932,5896.029785
23.300,0.935,6066.890137
23.400,0.938,6078.850098
23.500,0.941,6181.529785
23.600,0.944,6188.500000
23.700,0.947,6211.500000
23.800,0.950,5894.310059
23.900,0.953,5411.379883
24.000,0.957,4860.439941
24.100,0.960,4719.870117
24.200,0.963,4755.959961
24.300,0.966,4803.279785
24.400,0.970,4875.319824
24.500,0.973,4920.319824
24.600,0.976,4958.520020
24.700,0.980,5024.000000
24.800,0.983,5065.160156
24.900,0.987,5088.839844
25.000,0.990,5138.919922
25.100,0.994,5172.560059
25.200,0.997,5237.319824
25.300,1.001,5285.919922
25.400,1.005,5321.919922
25.500,1.008,5385.279785
25.600,1.012,5423.750000
25.700,1.016,5448.750000
25.800,1.019,5460.970215
25.900,1.023,5472.229980
26.000,1.027,5480.259766
26.100,1.031,5532.410156
26.200,1.034,5591.339844
26.300,1.038,5607.000000
26.400,1.042,5679.419922
26.500,1.046,5748.759766
26.600,1.050,5760.029785
26.700,1.054,5803.439941
26.800,1.058,5837.620117
26.900,1.062,5917.839844
27.000,1.066,5980.660156
27.100,1.070,5961.799805
27.200,1.075,5953.600098
27.300,1.079,5960.899902
27.400,1.083,6061.000000
27.500,1.087,6064.500000
27.600,1.091,6064.100098
27.700,1.096,6155.700195
27.800,1.100,6157.700195
27.900,1.104,6159.799805
28.000,1.109,6272.000000
28.100,1.113,6298.799805
28.200,1.117,6273.500000
28.300,1.122,6277.899902
28.400,1.126,5871.399902
28.500,1.131,5530.089844
28.600,1.135,5199.319824
28.700,1.140,5106.770020
28.800,1.144,5124.589844
28.900,1.149,5147.319824
29.000,1.153,5187.740234
29.100,1.158,5213.729980
29.200,1.162,5227.279785
29.300,1.167,5247.560059
29.400,1.171,5279.149902
29.500,1.176,5294.140137
29.600,1.180,5324.979980
29.700,1.185,5351.109863
29.800,1.190,5373.560059
29.900,1.194,5402.390137
30.000,1.199,5441.919922
30.100,1.204,5443.080078
30.200,1.208,5467.600098
30.300,1.213,5477.919922
30.400,1.218,5510.680176
30.500,1.223,5585.479980
30.600,1.228,5559.279785
30.700,1.232,5560.520020
30.800,1.237,5655.959961
30.900,1.242,5625.640137
31.000,1.247,5629.720215
31.100,1.252,5674.879883
31.200,1.257,5692.759766
31.300,1.262,5699.759766
31.400,1.267,5808.759766
31.500,1.272,5781.950195
31.600,1.277,5782.189941
31.700,1.282,5839.859863
31.800,1.287,5859.000000
31.900,1.292,5883.790039
32.000,1.297,5916.100098
32.100,1.303,5900.540039
32.200,1.308,5948.299805
32.300,1.313,5978.000000
32.400,1.318,5978.000000
32.500,1.324,6004.129883
32.600,1.329,6037.770020
32.700,1.334,6063.410156
32.800,1.339,6087.080078
32.900,1.345,6116.120117
33.000,1.350,6153.399902
33.100,1.355,6145.879883
33.200,1.361,6161.399902
33.300,1.366,6153.879883
33.400,1.372,5847.319824
33.500,1.377,5431.660156
33.600,1.383,5261.020020
33.700,1.388,5200.759766
33.800,1.394,5119.600098
33.900,1.399,5114.740234
34.000,1.405,5135.259766
34.100,1.410,5154.180176
34.200,1.416,5184.439941
34.300,1.421,5180.819824
34.400,1.427,5184.700195
34.500,1.432,5198.149902
34.600,1.438,5213.049805
34.700,1.443,5215.750000
34.800,1.449,5228.950195
34.900,1.454,5214.250000
35.000,1.460,5220.850098
35.100,1.465,5234.899902
35.200,1.471,5244.799805
35.300,1.477,5291.250000
35.400,1.482,5275.649902
35.500,1.488,5262.149902
35.600,1.493,5269.899902
35.700,1.499,5323.350098
35.800,1.505,5311.959961
35.900,1.510,5297.680176
36.000,1.516,5413.359863
36.100,1.522,5372.319824
36.200,1.527,5333.200195
36.300,1.533,5408.000000
36.400,1.539,5388.319824
36.500,1.544,5364.680176
36.600,1.550,5380.520020
36.700,1.556,5375.479980
36.800,1.562,5396.520020
36.900,1.567,5400.479980
37.000,1.573,5417.680176
37.100,1.579,5471.959961
37.200,1.585,5430.359863
37.300,1.591,5417.310059
