Time,Distance,GPS_Speed
0.000,0.000,158.008011
0.100,0.004,158.860001
0.200,0.009,159.886002
0.300,0.013,160.959991
0.400,0.018,162.063995
0.500,0.022,163.360001
0.600,0.027,164.308014
0.700,0.032,165.108002
0.800,0.036,165.934006
0.900,0.041,166.808014
1.000,0.045,167.634003
1.100,0.050,168.508011
1.200,0.055,169.334000
1.300,0.060,170.259995
1.400,0.064,171.311996
1.500,0.069,172.459991
1.600,0.074,173.459991
1.700,0.079,174.459991
1.800,0.084,175.459991
1.900,0.089,176.434006
2.000,0.093,177.334000
2.100,0.098,178.234009
2.200,0.103,179.143005
2.300,0.108,180.042999
2.400,0.113,180.970001
2.500,0.119,181.916000
2.600,0.124,182.716003
2.700,0.129,183.488998
2.800,0.134,184.216003
2.900,0.139,184.988998
3.000,0.144,185.716003
3.100,0.149,186.542999
3.200,0.154,187.442993
3.300,0.160,188.370010
3.400,0.165,189.397003
3.500,0.170,190.470001
3.600,0.176,191.442993
3.700,0.181,192.343002
3.800,0.186,193.216003
3.900,0.192,194.016006
4.000,0.197,194.843002
4.100,0.203,195.688995
4.200,0.208,196.416000
4.300,0.213,197.216003
4.400,0.219,198.016006
4.500,0.224,198.816010
4.600,0.230,199.643005
4.700,0.236,200.488998
4.800,0.241,201.108002
4.900,0.247,201.616013
5.000,0.252,202.091995
5.100,0.258,201.611008
5.200,0.264,200.803009
5.300,0.269,199.460007
5.400,0.275,197.163010
5.500,0.280,194.144012
5.600,0.285,191.182007
5.700,0.291,187.727997
5.800,0.296,184.263000
5.900,0.301,181.136002
6.000,0.306,177.962997
6.100,0.310,174.916992
6.200,0.315,172.016998
6.300,0.320,169.117004
6.400,0.325,166.216995
6.500,0.329,163.288010
6.600,0.334,160.388000
6.700,0.338,157.516006
6.800,0.342,154.772003
6.900,0.346,152.228012
7.000,0.351,149.828003
7.100,0.355,147.428009
7.200,0.359,145.056000
7.300,0.363,142.784012
7.400,0.367,140.556000
7.500,0.370,138.424011
7.600,0.374,136.723999
7.700,0.378,134.996002
7.800,0.382,133.167999
7.900,0.385,131.268005
8.000,0.389,129.424011
8.100,0.393,127.695999
8.200,0.396,125.980003
8.300,0.399,124.592003
8.400,0.403,123.464005
8.500,0.406,122.375999
8.600,0.410,121.604004
8.700,0.413,120.931999
8.800,0.416,120.388000
8.900,0.420,120.015999
9.000,0.423,119.716003
9.100,0.426,119.723999
9.200,0.430,120.580002
9.300,0.433,121.384003
9.400,0.436,121.683998
9.500,0.440,121.956001
9.600,0.443,122.155998
9.700,0.447,122.286003
9.800,0.450,122.236000
9.900,0.453,122.060005
10.000,0.457,121.672005
10.100,0.460,121.459999
10.200,0.464,120.931999
10.300,0.467,120.695999
10.400,0.470,121.956001
10.500,0.474,124.264000
10.600,0.477,125.340004
10.700,0.481,125.787003
10.800,0.484,126.203003
10.900,0.488,126.874001
11.000,0.491,127.503006
11.100,0.495,128.173996
11.200,0.498,128.774002
11.300,0.502,129.431992
11.400,0.506,130.203003
11.500,0.509,130.903000
11.600,0.513,131.661011
11.700,0.517,132.531998
11.800,0.520,133.361008
11.900,0.524,134.203003
12.000,0.528,134.960999
12.100,0.532,135.861008
12.200,0.535,136.761002
12.300,0.539,137.719009
12.400,0.543,138.789993
12.500,0.547,139.819000
12.600,0.551,140.947998
12.700,0.555,142.119003
12.800,0.559,143.248001
12.900,0.563,144.477005
13.000,0.567,145.748001
13.100,0.571,146.947998
13.200,0.575,148.147995
13.300,0.579,149.347992
13.400,0.583,150.548004
13.500,0.588,151.719009
13.600,0.592,152.876999
13.700,0.596,154.119003
13.800,0.600,155.132004
13.900,0.605,155.931992
14.000,0.609,156.587006
14.100,0.614,156.829010
14.200,0.618,156.842010
14.300,0.622,156.554993
14.400,0.627,155.938995
14.500,0.631,155.039001
14.600,0.635,154.110016
14.700,0.639,153.081009
14.800,0.644,151.981003
14.900,0.648,150.880997
15.000,0.652,149.740005
15.100,0.656,148.510010
15.200,0.660,147.240005
15.300,0.664,146.070007
15.400,0.668,144.970001
15.500,0.672,143.989990
15.600,0.676,143.290009
15.700,0.680,142.680008
15.800,0.684,142.340012
15.900,0.688,142.229996
16.000,0.692,142.330002
16.100,0.696,142.490005
16.200,0.700,142.820007
16.300,0.704,143.220001
16.400,0.708,143.589996
16.500,0.712,143.949997
16.600,0.716,144.419998
16.700,0.720,144.820007
16.800,0.724,145.279999
16.900,0.728,145.910004
17.000,0.732,146.610016
17.100,0.736,147.400009
17.200,0.740,148.370010
17.300,0.745,149.209991
17.400,0.749,150.000000
17.500,0.753,150.729996
17.600,0.757,150.740005
17.700,0.761,150.450012
17.800,0.765,149.710007
17.900,0.770,148.199997
18.000,0.774,146.139999
18.100,0.778,143.820007
18.200,0.782,141.100006
18.300,0.785,138.130005
18.400,0.789,135.020004
18.500,0.793,131.509995
18.600,0.796,128.089996
18.700,0.800,124.419998
18.800,0.803,120.940002
18.900,0.806,117.680008
19.000,0.810,114.400002
19.100,0.813,111.400002
19.200,0.816,108.490005
19.300,0.819,105.948997
19.400,0.822,103.879997
19.500,0.824,102.127998
19.600,0.827,100.990005
19.700,0.830,99.928001
19.800,0.833,98.603996
19.900,0.835,97.159004
20.000,0.838,95.903999
20.100,0.841,94.428001
20.200,0.843,93.320999
20.300,0.846,92.204002
20.400,0.848,90.511002
20.500,0.851,88.797005
20.600,0.853,87.559006
20.700,0.856,86.490005
20.800,0.858,85.583000
20.900,0.860,84.975998
21.000,0.863,84.545006
21.100,0.865,84.169006
21.200,0.867,84.092247
21.300,0.870,84.067245
21.400,0.872,84.042252
21.500,0.874,84.017250
21.600,0.877,83.938004
21.700,0.879,83.769005
21.800,0.881,83.638000
21.900,0.884,83.406998
22.000,0.886,83.262001
22.100,0.888,83.555000
22.200,0.891,84.055000
22.300,0.893,84.648003
22.400,0.895,85.448006
22.500,0.898,86.496002
22.600,0.900,88.126999
22.700,0.903,89.734001
22.800,0.905,90.855003
22.900,0.908,91.107002
23.000,0.910,91.179001
23.100,0.913,92.016998
23.200,0.915,92.685997
23.300,0.918,93.472000
23.400,0.921,94.672005
23.500,0.923,96.212997
23.600,0.926,98.600006
23.700,0.929,100.972000
23.800,0.932,102.751999
23.900,0.935,103.596001
24.000,0.938,104.184006
24.100,0.940,105.096001
24.200,0.943,105.363998
24.300,0.946,106.076004
24.400,0.949,108.708000
24.500,0.952,112.372002
24.600,0.956,114.152000
24.700,0.959,115.124001
24.800,0.962,115.952003
24.900,0.965,116.924004
25.000,0.969,117.688004
25.100,0.972,118.588005
25.200,0.975,119.456001
25.300,0.979,120.351997
25.400,0.982,121.547997
25.500,0.985,122.884003
25.600,0.989,124.084007
25.700,0.992,125.284004
25.800,0.996,126.484001
25.900,0.999,127.716003
26.000,1.003,128.984009
26.100,1.007,130.152008
26.200,1.010,131.251999
26.300,1.014,132.352005
26.400,1.018,133.451996
26.500,1.021,134.520004
26.600,1.025,135.552002
26.700,1.029,136.620010
26.800,1.033,137.620010
26.900,1.037,138.652008
27.000,1.040,139.751999
27.100,1.044,140.820007
27.200,1.048,141.852005
27.300,1.052,142.920013
27.400,1.056,143.951996
27.500,1.060,145.020004
27.600,1.064,146.020004
27.700,1.068,147.020004
27.800,1.073,147.988007
27.900,1.077,148.930008
28.000,1.081,149.897003
28.100,1.085,150.796997
28.200,1.089,151.664001
28.300,1.093,152.529999
28.400,1.098,153.496994
28.500,1.102,154.397003
28.600,1.106,155.330002
28.700,1.111,156.330002
28.800,1.115,157.296997
28.900,1.119,158.230011
29.000,1.124,159.131012
29.100,1.128,159.798004
29.200,1.133,160.332001
29.300,1.137,160.699005
29.400,1.142,160.867004
29.500,1.146,160.899002
29.600,1.151,161.166000
29.700,1.155,161.365997
29.800,1.160,161.664993
29.900,1.164,162.264008
30.000,1.169,163.031006
30.100,1.173,163.863007
30.200,1.178,165.029007
30.300,1.182,166.098007
30.400,1.187,166.697998
30.500,1.192,167.199005
30.600,1.196,167.466003
30.700,1.201,167.699005
30.800,1.206,168.065002
30.900,1.210,168.532013
31.000,1.215,169.031006
31.100,1.220,169.598999
31.200,1.224,169.932007
31.300,1.229,170.662003
31.400,1.234,172.391998
31.500,1.239,174.494995
31.600,1.244,175.632004
31.700,1.249,175.966003
31.800,1.254,176.397003
31.900,1.258,177.264008
32.000,1.263,178.097000
32.100,1.268,179.005997
32.200,1.273,179.906006
32.300,1.278,180.806000
32.400,1.283,181.706009
32.500,1.289,182.572006
32.600,1.294,183.406006
32.700,1.299,184.272003
32.800,1.304,185.106003
32.900,1.309,185.972000
33.000,1.314,186.772003
33.100,1.319,187.572006
33.200,1.325,188.372009
33.300,1.330,189.172012
33.400,1.335,189.972000
33.500,1.341,190.772003
33.600,1.346,191.572006
33.700,1.351,192.338013
33.800,1.357,193.072006
33.900,1.362,193.838013
34.000,1.367,194.537994
34.100,1.373,195.238007
34.200,1.378,195.903992
34.300,1.384,196.537994
34.400,1.389,197.238007
34.500,1.395,197.869995
34.600,1.400,198.302002
34.700,1.406,198.602005
34.800,1.411,198.834000
34.900,1.417,198.832001
35.000,1.422,198.733994
35.100,1.428,198.766006
35.200,1.433,198.666000
35.300,1.439,198.634003
35.400,1.444,198.835999
35.500,1.450,199.202011
35.600,1.455,199.536011
35.700,1.461,199.970001
35.800,1.467,200.402008
35.900,1.472,200.736008
36.000,1.478,201.136002
36.100,1.483,201.501999
36.200,1.489,201.835999
36.300,1.495,202.236008
36.400,1.500,202.604996
36.500,1.506,202.940002
36.600,1.511,203.339996
36.700,1.517,203.740005
36.800,1.523,204.139999
36.900,1.528,204.505005
37.000,1.534,204.875000
37.100,1.540,205.410004
37.200,1.546,206.044998
37.300,1.551,206.675003
37.400,1.557,207.175003
37.500,1.563,207.639999
37.600,1.569,208.075012
37.700,1.574,208.540009
37.800,1.580,208.940002
37.900,1.586,209.339996
38.000,1.592,209.705002
38.100,1.598,210.005005
38.200,1.604,210.339996
38.300,1.609,210.740005
38.400,1.615,211.104996
38.500,1.621,211.404999
38.600,1.627,211.809998
38.700,1.633,212.445007
38.800,1.639,213.145004
38.900,1.645,213.880005
39.000,1.651,214.645004
39.100,1.657,215.240005
39.200,1.663,215.639999
39.300,1.669,216.040009
39.400,1.675,216.440002
39.500,1.681,216.875000
