Time,Distance,RPM
0.000,0.000,6239.149902
0.100,0.004,5877.009766
0.200,0.009,5058.959961
0.300,0.013,5213.450195
0.400,0.018,5270.410156
0.500,0.022,5318.560059
0.600,0.027,5331.640137
0.700,0.031,5343.640137
0.800,0.036,5441.000000
0.900,0.041,5388.709961
1.000,0.045,5435.500000
1.100,0.050,5505.870117
1.200,0.055,5513.819824
1.300,0.060,5520.790039
1.400,0.064,5578.229980
1.500,0.069,5586.790039
1.600,0.074,5632.589844
1.700,0.079,5686.379883
1.800,0.084,5694.790039
1.900,0.089,5688.209961
2.000,0.094,5762.689941
2.100,0.099,5744.629883
2.200,0.104,5757.580078
2.300,0.109,5927.750000
2.400,0.114,5791.379883
2.500,0.119,5878.180176
2.600,0.124,5895.549805
2.700,0.129,5939.649902
2.800,0.134,5911.899902
2.900,0.139,6021.580078
3.000,0.144,5979.410156
3.100,0.149,5985.759766
3.200,0.155,6038.379883
3.300,0.160,6040.000000
3.400,0.165,6179.680176
3.500,0.170,6006.490234
3.600,0.176,6138.740234
3.700,0.181,6378.709961
3.800,0.186,6119.250000
3.900,0.192,6173.080078
4.000,0.197,6279.759766
4.100,0.202,6210.250000
4.200,0.208,6264.259766
4.300,0.213,6315.470215
4.400,0.219,6276.259766
4.500,0.224,6307.009766
4.600,0.230,6358.439941
4.700,0.236,6444.390137
4.800,0.241,6052.209961
4.900,0.247,6155.430176
5.000,0.252,6059.089844
5.100,0.258,5965.790039
5.200,0.264,5819.439941
5.300,0.269,5678.229980
5.400,0.275,5506.189941
5.500,0.280,5390.419922
5.600,0.286,5201.729980
5.700,0.291,5275.540039
5.800,0.297,5972.520020
5.900,0.302,6201.580078
6.000,0.307,6121.669922
6.100,0.312,5860.009766
6.200,0.317,5633.750000
6.300,0.322,5823.910156
6.400,0.327,5486.620117
6.500,0.331,5550.689941
6.600,0.336,5447.270020
6.700,0.340,5462.430176
6.800,0.345,5318.470215
6.900,0.349,5343.100098
7.000,0.353,5251.850098
7.100,0.357,5259.669922
7.200,0.361,5220.229980
7.300,0.365,5136.549805
7.400,0.369,5128.180176
7.500,0.373,5053.310059
7.600,0.377,5055.850098
7.700,0.381,5029.810059
7.800,0.385,4993.109863
7.900,0.389,4950.290039
8.000,0.392,4909.229980
8.100,0.396,4898.299805
8.200,0.400,4917.399902
8.300,0.404,4887.930176
8.400,0.407,4927.740234
8.500,0.411,4908.629883
8.600,0.415,4877.930176
8.700,0.418,4857.600098
8.800,0.422,4832.750000
8.900,0.425,4817.450195
9.000,0.429,4792.750000
9.100,0.432,4796.850098
9.200,0.436,4797.000000
9.300,0.439,4778.569824
9.400,0.443,4768.299805
9.500,0.446,4796.129883
9.600,0.450,4821.250000
9.700,0.453,4855.950195
9.800,0.457,4857.000000
9.900,0.460,4881.250000
10.000,0.464,4921.770020
10.100,0.467,4943.370117
10.200,0.471,4990.560059
10.300,0.474,4945.439941
10.400,0.478,4934.299805
10.500,0.481,4903.930176
10.600,0.485,4928.220215
10.700,0.488,4974.589844
10.800,0.492,4976.000000
10.900,0.495,5011.890137
11.000,0.499,5060.529785
11.100,0.502,5126.020020
11.200,0.506,5138.669922
11.300,0.509,5177.799805
11.400,0.513,5168.330078
11.500,0.517,5234.930176
11.600,0.520,5270.950195
11.700,0.524,5272.000000
11.800,0.528,5330.200195
11.900,0.531,5314.540039
12.000,0.535,5403.240234
12.100,0.539,5418.609863
12.200,0.543,5492.720215
12.300,0.547,5500.819824
12.400,0.551,5551.439941
12.500,0.554,5591.799805
12.600,0.558,5625.979980
12.700,0.562,5679.379883
12.800,0.566,5551.020020
12.900,0.570,5081.399902
13.000,0.574,4740.109863
13.100,0.578,4427.359863
13.200,0.583,4706.089844
13.300,0.587,4529.729980
13.400,0.591,4562.799805
13.500,0.595,4567.879883
13.600,0.599,4576.729980
13.700,0.603,4555.660156
13.800,0.607,4558.879883
13.900,0.611,4563.850098
14.000,0.615,4559.149902
14.100,0.619,4563.850098
14.200,0.624,4555.270020
14.300,0.628,4542.390137
14.400,0.632,4515.810059
14.500,0.636,4489.779785
14.600,0.640,4481.240234
14.700,0.644,4506.220215
14.800,0.648,4519.609863
14.900,0.652,4489.930176
15.000,0.656,4493.850098
15.100,0.660,4485.270020
15.200,0.664,4501.490234
15.300,0.668,4485.509766
15.400,0.672,4501.490234
15.500,0.676,4506.850098
15.600,0.680,4489.540039
15.700,0.684,4522.950195
15.800,0.688,4571.529785
15.900,0.692,4542.930176
16.000,0.696,4615.720215
16.100,0.700,4591.810059
16.200,0.704,4621.069824
16.300,0.708,4630.729980
16.400,0.712,4635.850098
16.500,0.716,4489.529785
16.600,0.720,4514.100098
16.700,0.724,4469.410156
16.800,0.728,4443.750000
16.900,0.732,4402.259766
17.000,0.736,4397.120117
17.100,0.740,4368.870117
17.200,0.744,4275.850098
17.300,0.748,4231.290039
17.400,0.752,4146.580078
17.500,0.756,4056.699951
17.600,0.760,4027.810059
17.700,0.764,3925.149902
17.800,0.768,3865.739990
17.900,0.772,3794.159912
18.000,0.775,3730.889893
18.100,0.779,3674.679932
18.200,0.783,3536.229980
18.300,0.786,3519.389893
18.400,0.790,3462.739990
18.500,0.793,3989.649902
18.600,0.796,4157.319824
18.700,0.800,4013.590088
18.800,0.803,3973.110107
18.900,0.806,3867.239990
19.000,0.809,3794.159912
19.100,0.812,3701.790039
19.200,0.815,3621.399902
19.300,0.818,3542.370117
19.400,0.821,3493.439941
19.500,0.824,3432.830078
19.600,0.826,3327.209961
19.700,0.829,3377.350098
19.800,0.832,3291.699951
19.900,0.834,3293.850098
20.000,0.837,3275.570068
20.100,0.839,3240.080078
20.200,0.842,3212.810059
20.300,0.844,3197.449951
20.400,0.846,3165.959961
20.500,0.849,3143.659912
20.600,0.851,3107.110107
20.700,0.854,3077.870117
20.800,0.856,3133.260010
20.900,0.858,3104.929932
21.000,0.860,3111.760010
21.100,0.863,3085.810059
21.200,0.865,3113.129883
21.300,0.867,3104.300049
21.400,0.869,3105.939941
21.500,0.872,3104.060059
21.600,0.874,3174.810059
21.700,0.876,3145.959961
21.800,0.878,3216.780029
21.900,0.880,3220.939941
22.000,0.883,3219.060059
22.100,0.885,3271.379883
22.200,0.887,3283.669922
22.300,0.889,3309.219971
22.400,0.892,3325.520020
22.500,0.894,3352.189941
22.600,0.896,3371.429932
22.700,0.899,3434.080078
22.800,0.901,3463.159912
22.900,0.903,3529.959961
23.000,0.906,3560.129883
23.100,0.908,3612.409912
23.200,0.911,3648.919922
23.300,0.913,3694.620117
23.400,0.915,3722.189941
23.500,0.918,3781.199951
23.600,0.921,3771.360107
23.700,0.923,3842.780029
23.800,0.926,3847.909912
23.900,0.928,3907.169922
24.000,0.931,3953.620117
24.100,0.934,3964.699951
24.200,0.937,4065.879883
24.300,0.939,4089.370117
24.400,0.942,4149.169922
24.500,0.945,4190.770020
24.600,0.948,4224.979980
24.700,0.951,4379.259766
24.800,0.954,4345.200195
24.900,0.957,4419.660156
25.000,0.960,4479.229980
25.100,0.963,4497.490234
25.200,0.966,4631.859863
25.300,0.969,4604.959961
25.400,0.972,4693.240234
25.500,0.976,4737.709961
25.600,0.979,4771.979980
25.700,0.982,4830.229980
25.800,0.985,4875.649902
25.900,0.989,4872.149902
26.000,0.992,4936.990234
26.100,0.995,4974.890137
26.200,0.999,4976.000000
26.300,1.002,4499.729980
26.400,1.006,4122.220215
26.500,1.009,3816.120117
26.600,1.013,3983.540039
26.700,1.016,4025.860107
26.800,1.020,4023.120117
26.900,1.024,4043.370117
27.000,1.027,4044.000000
27.100,1.031,4075.040039
27.200,1.034,4096.370117
27.300,1.038,4110.580078
27.400,1.041,4136.220215
27.500,1.045,4158.339844
27.600,1.049,4209.439941
27.700,1.052,4189.660156
27.800,1.056,4243.319824
27.900,1.059,4252.759766
28.000,1.063,4275.310059
28.100,1.067,4330.319824
28.200,1.071,4308.720215
28.300,1.074,4377.839844
28.400,1.078,4392.609863
28.500,1.082,4404.640137
28.600,1.086,4458.350098
28.700,1.089,4505.589844
28.800,1.093,4485.660156
28.900,1.097,4501.490234
29.000,1.101,4553.410156
29.100,1.105,4537.540039
29.200,1.109,4571.919922
29.300,1.113,4616.649902
29.400,1.117,4626.729980
29.500,1.121,4644.459961
29.600,1.125,4653.729980
29.700,1.129,4709.290039
29.800,1.133,4678.990234
29.900,1.137,4713.890137
30.000,1.141,4743.129883
30.100,1.145,4757.580078
30.200,1.150,4772.549805
30.300,1.154,4805.979980
30.400,1.158,4831.250000
30.500,1.162,4841.700195
30.600,1.166,4856.549805
30.700,1.171,4866.700195
30.800,1.175,4901.919922
30.900,1.179,4922.399902
31.000,1.184,4938.520020
31.100,1.188,4939.000000
31.200,1.192,4974.890137
31.300,1.197,4991.520020
31.400,1.201,5001.700195
31.500,1.205,5043.709961
31.600,1.210,5034.330078
31.700,1.214,5061.160156
31.800,1.219,5072.669922
31.900,1.223,5099.189941
32.000,1.227,5143.649902
32.100,1.232,5117.839844
32.200,1.236,5149.979980
32.300,1.241,5200.470215
32.400,1.246,5179.689941
32.500,1.250,5201.310059
32.600,1.255,5235.950195
32.700,1.259,5248.640137
32.800,1.264,5259.669922
32.900,1.269,5277.459961
33.000,1.273,5383.729980
33.100,1.278,5292.910156
33.200,1.283,5354.990234
33.300,1.287,5392.890137
33.400,1.292,5369.750000
33.500,1.297,5417.500000
33.600,1.301,5443.250000
33.700,1.306,5444.000000
33.800,1.311,5468.250000
33.900,1.316,5512.649902
34.000,1.321,5520.790039
34.100,1.326,5514.209961
34.200,1.330,5508.180176
34.300,1.335,5054.040039
34.400,1.340,4716.020020
34.500,1.345,4446.040039
34.600,1.350,4577.680176
34.700,1.355,4355.020020
34.800,1.360,4587.589844
34.900,1.365,4513.520020
35.000,1.370,4523.609863
35.100,1.375,4520.120117
35.200,1.380,4553.950195
35.300,1.384,4558.879883
35.400,1.389,4555.120117
35.500,1.394,4598.649902
35.600,1.399,4591.270020
35.700,1.404,4591.000000
35.800,1.409,4608.459961
35.900,1.414,4609.000000
36.000,1.419,4635.189941
36.100,1.424,4663.160156
36.200,1.429,4650.419922
36.300,1.434,4663.580078
36.400,1.439,4672.729980
36.500,1.444,4677.850098
36.600,1.449,4673.149902
36.700,1.454,4695.310059
36.800,1.459,4682.419922
36.900,1.464,4682.000000
37.000,1.469,4779.970215
37.100,1.474,4685.029785
37.200,1.479,4705.279785
37.300,1.484,4738.009766
37.400,1.489,4720.569824
37.500,1.494,4729.700195
37.600,1.499,4762.009766
37.700,1.504,4782.399902
37.800,1.509,4763.600098
37.900,1.514,4767.850098
38.000,1.519,4834.930176
38.100,1.524,4779.770020
38.200,1.530,4787.700195
38.300,1.535,4806.430176
38.400,1.540,4821.549805
38.500,1.545,4817.149902
38.600,1.550,4831.549805
38.700,1.555,4832.000000
38.800,1.560,4841.700195
38.900,1.566,4846.850098
39.000,1.571,4851.850098
39.100,1.576,4871.399902
39.200,1.581,4886.549805
39.300,1.586,4917.069824
39.400,1.592,4887.930176
39.500,1.597,4912.220215
39.600,1.602,4928.520020
39.700,1.607,4933.850098
39.800,1.613,4938.850098
39.900,1.618,4948.700195
40.000,1.623,4975.189941
40.100,1.629,5007.040039
40.200,1.634,4986.660156
40.300,1.639,5012.189941
40.400,1.645,4992.629883
40.500,1.650,5049.229980
40.600,1.656,5009.290039
40.700,1.661,5033.220215
40.800,1.666,5061.160156
40.900,1.672,5051.330078
41.000,1.677,5066.520020
41.100,1.683,5062.149902
41.200,1.688,5051.330078
41.300,1.694,5051.000000
41.400,1.699,5061.669922
41.500,1.705,5051.330078
41.600,1.710,5055.850098
41.700,1.716,5056.000000
41.800,1.721,5051.149902
41.900,1.727,5051.000000
42.000,1.732,5034.509766
42.100,1.738,5034.000000
42.200,1.743,5039.819824
42.300,1.749,5034.180176
42.400,1.754,5034.000000
42.500,1.760,5029.149902
42.600,1.765,5018.330078
42.700,1.771,5008.299805
42.800,1.776,5002.180176
42.900,1.782,5002.000000
43.000,1.787,4986.479980
43.100,1.793,4976.299805
43.200,1.798,4949.810059
43.300,1.804,4835.509766
43.400,1.809,4896.020020
43.500,1.814,4907.700195
43.600,1.820,4877.930176
43.700,1.825,4862.450195
43.800,1.831,4852.299805
43.900,1.836,4822.899902
44.000,1.842,4807.450195
44.100,1.847,4802.149902
44.200,1.852,4788.419922
44.300,1.858,4763.750000
44.400,1.863,4730.990234
44.500,1.868,4753.279785
44.600,1.873,4721.020020
44.700,1.879,4701.569824
44.800,1.884,4692.270020
44.900,1.889,4673.569824
45.000,1.894,4668.149902
45.100,1.899,4641.810059
45.200,1.905,4636.149902
45.300,1.910,4627.270020
45.400,1.915,4574.620117
45.500,1.920,4603.069824
45.600,1.925,4582.660156
45.700,1.930,4555.810059
45.800,1.935,4546.270020
45.900,1.940,4537.270020
46.000,1.945,4515.660156
46.100,1.950,4498.509766
46.200,1.955,4494.120117
46.300,1.960,4472.660156
46.400,1.965,4464.240234
46.500,1.970,4451.390137
46.600,1.975,4430.629883
46.700,1.980,4405.750000
46.800,1.985,4365.229980
46.900,1.990,4313.560059
47.000,1.995,4296.479980
47.100,2.000,4250.410156
47.200,2.005,4190.799805
47.300,2.009,4149.229980
47.400,2.014,4112.109863
47.500,2.019,4052.800049
47.600,2.024,3997.649902
47.700,2.028,4001.820068
47.800,2.033,3931.189941
47.900,2.038,3847.520020
48.000,2.042,3805.229980
48.100,2.047,3825.340088
48.200,2.051,3726.090088
48.300,2.055,3668.679932
48.400,2.060,3599.100098
48.500,2.064,3390.389893
48.600,2.068,3379.149902
48.700,2.072,3474.060059
48.800,2.076,4233.600098
48.900,2.080,3983.459961
49.000,2.084,3845.989990
49.100,2.088,4134.939941
49.200,2.092,4026.629883
49.300,2.096,3957.040039
49.400,2.100,3903.590088
49.500,2.103,3751.649902
49.600,2.107,3758.639893
49.700,2.111,3664.909912
49.800,2.114,3603.800049
49.900,2.118,3562.229980
50.000,2.121,3489.219971
50.100,2.125,3427.830078
50.200,2.128,3392.050049
50.300,2.131,3369.659912
50.400,2.134,3311.770020
50.500,2.138,3287.689941
50.600,2.141,3255.959961
50.700,2.144,3213.290039
50.800,2.147,3193.570068
50.900,2.150,3140.620117
51.000,2.153,3122.510010
51.100,2.156,3114.239990
51.200,2.158,3087.810059
51.300,2.161,3055.959961
51.400,2.164,3037.540039
51.500,2.167,3022.449951
51.600,2.170,2988.050049
51.700,2.172,2976.330078
51.800,2.175,2948.840088
51.900,2.178,2931.510010
52.000,2.180,2929.060059
52.100,2.183,2989.139893
52.200,2.186,2970.629883
52.300,2.188,2946.719971
52.400,2.191,2965.399902
52.500,2.194,2953.389893
52.600,2.196,2956.879883
52.700,2.199,2969.610107
52.800,2.201,2970.000000
52.900,2.204,2978.729980
53.000,2.207,2982.879883
53.100,2.209,2988.820068
53.200,2.212,2999.669922
53.300,2.214,2999.030029
53.400,2.217,3011.610107
53.500,2.220,3004.239990
53.600,2.222,3031.159912
53.700,2.225,3024.239990
53.800,2.228,3014.300049
53.900,2.230,3049.889893
54.000,2.233,3047.120117
54.100,2.236,3078.040039
54.200,2.238,3071.239990
54.300,2.241,3108.830078
54.400,2.244,3130.370117
54.500,2.246,3149.429932
54.600,2.249,3168.429932
54.700,2.252,3200.040039
54.800,2.254,3220.399902
54.900,2.257,3238.459961
55.000,2.260,3265.189941
55.100,2.263,3270.850098
55.200,2.265,3327.260010
55.300,2.268,3349.370117
55.400,2.271,3348.060059
55.500,2.274,3378.070068
55.600,2.277,3383.850098
55.700,2.280,3403.399902
55.800,2.282,3404.000000
55.900,2.285,3404.000000
56.000,2.288,3439.889893
56.100,2.291,3480.770020
56.200,2.294,3489.760010
56.300,2.297,3527.830078
56.400,2.300,3547.429932
56.500,2.303,3569.340088
56.600,2.306,3617.530029
56.700,2.309,3614.149902
56.800,2.312,3674.139893
56.900,2.316,3673.090088
57.000,2.319,3692.399902
57.100,2.322,3739.560059
57.200,2.325,3735.179932
57.300,2.328,3796.110107
57.400,2.331,3792.179932
57.500,2.335,3827.889893
57.600,2.338,3862.949951
57.700,2.341,3869.820068
57.800,2.345,3907.830078
57.900,2.348,3957.500000
58.000,2.351,3961.909912
58.100,2.355,3991.100098
58.200,2.358,4005.580078
58.300,2.362,4022.489990
58.400,2.365,4059.860107
58.500,2.369,4089.129883
58.600,2.372,4118.129883
58.700,2.376,4136.459961
58.800,2.379,4187.439941
58.900,2.383,4191.910156
59.000,2.386,4228.859863
59.100,2.390,4263.950195
59.200,2.394,4298.950195
59.300,2.397,4327.160156
59.400,2.401,4359.040039
59.500,2.405,4403.649902
59.600,2.409,4361.350098
59.700,2.413,3993.340088
59.800,2.417,3671.600098
59.900,2.420,3402.040039
60.000,2.424,3173.810059
60.100,2.428,3440.540039
60.200,2.432,3592.560059
60.300,2.436,3594.090088
60.400,2.440,3586.239990
60.500,2.444,3586.000000
60.600,2.448,3593.760010
60.700,2.452,3621.159912
60.800,2.455,3632.669922
60.900,2.459,3638.820068
61.000,2.463,3674.889893
61.100,2.467,3673.090088
61.200,2.471,3712.770020
61.300,2.475,3708.179932
61.400,2.479,3745.830078
61.500,2.483,3758.639893
61.600,2.487,3770.639893
61.700,2.491,3782.639893
61.800,2.495,3800.459961
61.900,2.499,3831.070068
62.000,2.503,3847.520020
62.100,2.507,3866.429932
62.200,2.511,3904.830078
62.300,2.515,3893.389893
62.400,2.519,3937.620117
62.500,2.524,3929.300049
62.600,2.528,3958.100098
62.700,2.532,3968.699951
62.800,2.536,3974.820068
62.900,2.540,3904.189941
63.000,2.545,3963.110107
63.100,2.549,3898.070068
63.200,2.553,3883.389893
63.300,2.558,3885.909912
63.400,2.562,3854.959961
63.500,2.566,3821.020020
63.600,2.570,3787.020020
63.700,2.575,3748.169922
63.800,2.579,3709.169922
63.900,2.583,3676.959961
64.000,2.587,3640.110107
64.100,2.591,3598.260010
64.200,2.596,3554.320068
64.300,2.600,3529.719971
64.400,2.604,3443.639893
64.500,2.608,3845.489990
64.600,2.611,3626.169922
64.700,2.615,3405.600098
64.800,2.619,3535.770020
64.900,2.623,3872.709961
65.000,2.627,3917.919922
65.100,2.630,3878.260010
65.200,2.634,3821.709961
65.300,2.638,3775.379883
65.400,2.641,3695.429932
65.500,2.645,3629.949951
65.600,2.648,3561.070068
65.700,2.652,3492.070068
65.800,2.655,3389.120117
65.900,2.659,3342.350098
66.000,2.662,3283.770020
66.100,2.665,3210.219971
66.200,2.668,3141.070068
66.300,2.671,3080.800049
66.400,2.674,2991.699951
66.500,2.677,2987.060059
66.600,2.680,2976.330078
66.700,2.683,2968.239990
66.800,2.686,2928.229980
66.900,2.688,2890.139893
67.000,2.691,2840.500000
67.100,2.694,2828.330078
67.200,2.697,2818.300049
67.300,2.699,2798.600098
67.400,2.702,2772.780029
67.500,2.704,2760.360107
67.600,2.707,2726.050049
67.700,2.709,2703.659912
67.800,2.712,2708.820068
67.900,2.714,2683.780029
68.000,2.717,2772.239990
68.100,2.719,2758.510010
68.200,2.722,2736.659912
68.300,2.724,2707.870117
68.400,2.726,2748.709961
68.500,2.729,2754.850098
68.600,2.731,2767.610107
68.700,2.734,2752.479980
68.800,2.736,2764.610107
68.900,2.738,2799.919922
69.000,2.741,2783.540039
69.100,2.743,2802.399902
69.200,2.745,2826.280029
69.300,2.748,2834.760010
69.400,2.750,2889.320068
69.500,2.753,2879.360107
69.600,2.755,2890.639893
69.700,2.758,2906.520020
69.800,2.760,2928.340088
69.900,2.763,2932.879883
70.000,2.765,2954.340088
70.100,2.768,2956.939941
70.200,2.770,2995.800049
70.300,2.773,2964.020020
70.400,2.775,3000.830078
70.500,2.778,3019.459961
70.600,2.780,3044.250000
70.700,2.783,3054.699951
70.800,2.786,3096.709961
70.900,2.788,3107.699951
71.000,2.791,3119.639893
71.100,2.793,3147.159912
71.200,2.796,3155.760010
71.300,2.799,3217.110107
71.400,2.802,3190.870117
71.500,2.804,3226.860107
71.600,2.807,3273.590088
71.700,2.810,3275.000000
71.800,2.813,3300.219971
71.900,2.816,3332.040039
72.000,2.819,3333.000000
72.100,2.821,3382.469971
72.200,2.824,3390.790039
72.300,2.827,3420.100098
72.400,2.830,3445.250000
72.500,2.833,3518.750000
72.600,2.836,3490.929932
72.700,2.839,3530.739990
72.800,2.842,3565.949951
72.900,2.845,3593.189941
73.000,2.849,3607.580078
73.100,2.852,3660.379883
73.200,2.855,3645.510010
73.300,2.858,3703.199951
73.400,2.861,3707.909912
73.500,2.865,3740.010010
73.600,2.868,3770.100098
73.700,2.871,3776.820068
73.800,2.874,3797.370117
73.900,2.878,3840.679932
74.000,2.881,3832.300049
74.100,2.884,3857.219971
74.200,2.888,3858.000000
74.300,2.891,3879.340088
74.400,2.895,3861.570068
