Time,Distance,RPM
0.000,0.000,6407.399902
0.100,0.004,6449.700195
0.200,0.009,6463.399902
0.300,0.014,6325.299805
0.400,0.018,5858.000000
0.500,0.023,5130.700195
0.600,0.027,5314.700195
0.700,0.032,5380.600098
0.800,0.037,5426.000000
0.900,0.041,5385.399902
1.000,0.046,5430.100098
1.100,0.051,5477.899902
1.200,0.056,5498.899902
1.300,0.060,5538.600098
1.400,0.065,5579.299805
1.500,0.070,5575.000000
1.600,0.075,5602.500000
1.700,0.080,5686.000000
1.800,0.085,5668.000000
1.900,0.090,5679.899902
2.000,0.095,5779.200195
2.100,0.099,5713.200195
2.200,0.104,5770.000000
2.300,0.109,5924.100098
2.400,0.115,5780.700195
2.500,0.120,5857.500000
2.600,0.125,5850.700195
2.700,0.130,5911.000000
2.800,0.135,5920.799805
2.900,0.140,6004.399902
3.000,0.145,5965.299805
3.100,0.150,5988.299805
3.200,0.156,6013.700195
3.300,0.161,6066.299805
3.400,0.166,6145.600098
3.500,0.171,6040.000000
3.600,0.177,6180.799805
3.700,0.182,6224.000000
3.800,0.187,6145.399902
3.900,0.193,6173.600098
4.000,0.198,6231.299805
4.100,0.204,6218.500000
4.200,0.209,6246.000000
4.300,0.215,6289.399902
4.400,0.220,6277.500000
4.500,0.226,6306.799805
4.600,0.231,6368.000000
4.700,0.237,6368.000000
4.800,0.243,6330.600098
4.900,0.248,6022.899902
5.000,0.254,6248.000000
5.100,0.259,5927.100098
5.200,0.265,5843.899902
5.300,0.271,5551.399902
5.400,0.276,5355.100098
5.500,0.282,5344.200195
5.600,0.288,5372.200195
5.700,0.293,5149.799805
5.800,0.298,5366.700195
5.900,0.304,5050.600098
6.000,0.309,4988.500000
6.100,0.314,5755.899902
6.200,0.319,5749.899902
6.300,0.323,5831.500000
6.400,0.328,5525.600098
6.500,0.333,5567.600098
6.600,0.337,5558.799805
6.700,0.342,5426.000000
6.800,0.346,5379.200195
6.900,0.350,5345.799805
7.000,0.354,5192.700195
7.100,0.358,5204.000000
7.200,0.363,5169.100098
7.300,0.367,5174.500000
7.400,0.370,5131.200195
7.500,0.374,5114.500000
7.600,0.378,5201.500000
7.700,0.382,5286.000000
7.800,0.386,5194.299805
7.900,0.390,5179.600098
8.000,0.393,5169.899902
8.100,0.397,5031.399902
8.200,0.401,5020.000000
8.300,0.405,5120.299805
8.400,0.408,5048.299805
8.500,0.412,5023.399902
8.600,0.416,5015.399902
8.700,0.420,4989.299805
8.800,0.423,4964.000000
8.900,0.427,4953.399902
9.000,0.430,4937.399902
9.100,0.434,4922.500000
9.200,0.438,4919.100098
9.300,0.441,4927.399902
9.400,0.445,4912.500000
9.500,0.449,4909.500000
9.600,0.452,4924.600098
9.700,0.456,4938.000000
9.800,0.459,4933.100098
9.900,0.463,4970.600098
10.000,0.466,4978.100098
10.100,0.470,4995.399902
10.200,0.473,4988.000000
10.300,0.477,5050.399902
10.400,0.480,5044.549805
10.500,0.484,5040.990234
10.600,0.487,5053.430176
10.700,0.491,5082.500000
10.800,0.495,5131.060059
10.900,0.498,5167.129883
11.000,0.502,5219.540039
11.100,0.505,5231.930176
11.200,0.509,5296.689941
11.300,0.513,5249.390137
11.400,0.516,5317.330078
11.500,0.520,5354.240234
11.600,0.524,5390.959961
11.700,0.528,5437.299805
11.800,0.532,5506.939941
11.900,0.535,5569.339844
12.000,0.539,5599.120117
12.100,0.543,5662.799805
12.200,0.547,5684.149902
12.300,0.551,5719.149902
12.400,0.555,5756.129883
12.500,0.559,5815.200195
12.600,0.563,5887.370117
12.700,0.567,5887.029785
12.800,0.572,5959.069824
12.900,0.576,6062.629883
13.000,0.580,6024.259766
13.100,0.584,6453.479980
13.200,0.589,6039.700195
13.300,0.593,5694.370117
13.400,0.597,4712.470215
13.500,0.602,4971.439941
13.600,0.606,4990.319824
13.700,0.610,5037.959961
13.800,0.615,5072.149902
13.900,0.619,5017.410156
