Tempo,Temperatura
0,24
1,24
2,24
3,-11
4,-38
5,-31
6,-11
7,2
8,23
9,41
10,58
11,68
12,9
13,104
14,11
15,112
16,84
17,63
18,39
19,25
20,42
21,6
22,78
23,77
24,53
25,45
26,66
27,83
28,42
29,8
30,-21
31,-13
32,2
33,16
34,-13
35,-34
36,-16
37,29
38,59
39,7
40,4
41,13
42,55
43,75
44,101
45,112
46,112
47,105
48,11
49,112
50,97
51,57
52,33
53,-2
54,-16
55,-3
56,32
57,55
58,72
59,89
