Time,Distance,GPS_Speed
0.000,0.000,158.076004
0.100,0.004,159.374008
0.200,0.009,160.281998
0.300,0.013,161.378006
0.400,0.018,162.380005
0.500,0.022,163.183990
0.600,0.027,163.886002
0.700,0.032,164.880005
0.800,0.036,165.880005
0.900,0.041,166.880005
1.000,0.045,167.880005
1.100,0.050,168.880005
1.200,0.055,169.880005
1.300,0.060,170.781998
1.400,0.064,171.975998
1.500,0.069,173.862015
1.600,0.074,175.958008
1.700,0.079,176.979996
1.800,0.084,178.078003
1.900,0.089,178.786011
2.000,0.094,179.394012
2.100,0.099,180.093002
2.200,0.104,180.694000
2.300,0.109,181.194992
2.400,0.114,181.893005
2.500,0.119,181.998993
2.600,0.124,182.098999
2.700,0.129,182.990997
2.800,0.134,184.881012
2.900,0.140,186.088013
3.000,0.145,186.792999
3.100,0.150,187.394012
3.200,0.155,188.192001
3.300,0.160,188.694992
3.400,0.166,189.492004
3.500,0.171,190.292007
3.600,0.176,191.190994
3.700,0.182,192.289001
3.800,0.187,193.587006
3.900,0.192,194.688995
4.000,0.198,195.690002
4.100,0.203,196.690002
4.200,0.209,197.591003
4.300,0.214,198.392014
4.400,0.220,199.192001
4.500,0.225,199.992004
4.600,0.231,200.692993
4.700,0.237,201.194992
4.800,0.242,201.992004
4.900,0.248,201.901016
5.000,0.253,201.701996
5.100,0.259,201.106003
5.200,0.265,199.714005
5.300,0.270,197.423004
5.400,0.275,195.222000
5.500,0.281,192.428009
5.600,0.286,189.430008
5.700,0.291,186.925003
5.800,0.296,184.199997
5.900,0.301,181.500000
6.000,0.306,178.900009
6.100,0.311,176.300003
6.200,0.316,173.600006
6.300,0.321,170.900009
6.400,0.326,168.100006
6.500,0.330,165.199997
6.600,0.335,162.199997
6.700,0.339,159.400009
6.800,0.343,156.600006
6.900,0.348,153.699997
7.000,0.352,150.699997
7.100,0.356,147.800003
7.200,0.360,145.100006
7.300,0.364,142.500000
7.400,0.368,140.100006
7.500,0.372,137.900009
7.600,0.375,136.000000
7.700,0.379,134.199997
7.800,0.383,133.000000
7.900,0.387,131.800003
8.000,0.390,130.800003
8.100,0.394,130.000000
8.200,0.397,129.300003
8.300,0.401,128.800003
8.400,0.405,128.400009
8.500,0.408,128.100006
8.600,0.412,128.000000
8.700,0.415,127.700005
8.800,0.419,127.500000
8.900,0.422,127.300003
9.000,0.426,126.900002
9.100,0.429,126.500000
9.200,0.433,126.200005
9.300,0.436,126.000000
9.400,0.440,125.800003
9.500,0.443,125.500000
9.600,0.447,125.299004
9.700,0.450,125.199005
9.800,0.454,125.098000
9.900,0.457,124.899002
10.000,0.461,124.799004
10.100,0.464,124.699501
10.200,0.468,124.649498
10.300,0.471,124.601997
10.400,0.475,124.802002
10.500,0.478,125.004997
10.600,0.482,125.501999
10.700,0.485,125.707001
10.800,0.489,126.404999
10.900,0.492,126.899002
11.000,0.496,126.797005
11.100,0.499,126.505997
11.200,0.503,127.107002
11.300,0.506,127.809006
11.400,0.510,128.711990
11.500,0.513,129.914001
11.600,0.517,131.311996
11.700,0.521,132.511993
11.800,0.524,133.711990
11.900,0.528,134.912003
12.000,0.532,136.112000
12.100,0.536,137.313004
12.200,0.540,138.612000
12.300,0.543,139.813004
12.400,0.547,141.117004
12.500,0.551,142.817001
12.600,0.555,144.511002
12.700,0.559,145.611008
12.800,0.563,146.707993
12.900,0.568,147.507004
13.000,0.572,148.207001
13.100,0.576,148.911011
13.200,0.580,150.009003
13.300,0.584,150.912003
13.400,0.588,152.120010
13.500,0.593,153.120010
13.600,0.597,154.124008
13.700,0.601,155.346008
13.800,0.606,157.618011
13.900,0.610,158.503998
14.000,0.614,158.694000
14.100,0.619,158.388016
14.200,0.623,157.776001
14.300,0.628,156.572006
14.400,0.632,155.164001
14.500,0.636,153.358002
14.600,0.640,151.268005
14.700,0.645,149.664001
14.800,0.649,147.870010
14.900,0.653,146.372009
15.000,0.657,144.977997
15.100,0.661,143.880005
15.200,0.665,142.890015
15.300,0.669,142.390015
15.400,0.673,141.892014
15.500,0.677,141.496002
15.600,0.680,141.302002
15.700,0.684,141.401993
15.800,0.688,141.505997
15.900,0.692,141.807999
16.000,0.696,142.211990
16.100,0.700,142.809998
16.200,0.704,143.313995
16.300,0.708,144.016006
16.400,0.712,144.824005
16.500,0.716,146.024002
16.600,0.720,147.218002
16.700,0.724,148.120010
16.800,0.729,149.116013
16.900,0.733,149.918015
17.000,0.737,150.813995
17.100,0.741,151.509995
17.200,0.745,152.011993
17.300,0.750,152.397003
17.400,0.754,152.294006
17.500,0.758,152.085007
17.600,0.762,151.561005
17.700,0.766,150.261002
17.800,0.771,148.942993
17.900,0.775,147.010010
18.000,0.779,143.998001
18.100,0.783,140.612991
18.200,0.786,137.701004
18.300,0.790,134.401001
18.400,0.794,131.097992
18.500,0.797,127.698006
18.600,0.801,124.301003
18.700,0.804,120.994995
18.800,0.807,117.503998
18.900,0.811,114.313004
19.000,0.814,111.418999
19.100,0.817,108.722000
19.200,0.820,106.140007
19.300,0.823,104.134003
19.400,0.825,101.943001
19.500,0.828,100.042999
19.600,0.831,98.149002
19.700,0.834,96.455002
19.800,0.836,94.958000
19.900,0.839,93.563995
20.000,0.841,92.367004
20.100,0.844,91.270004
20.200,0.846,90.276001
20.300,0.849,89.475998
20.400,0.851,88.676003
20.500,0.854,87.875999
20.600,0.856,87.084999
20.700,0.859,86.584999
20.800,0.861,86.078995
20.900,0.863,85.382004
21.000,0.866,84.772003
21.100,0.868,84.075996
21.200,0.870,83.475998
21.300,0.873,82.884003
21.400,0.875,82.484001
21.500,0.877,82.087997
21.600,0.880,81.812004
21.700,0.882,82.171997
21.800,0.884,83.944000
21.900,0.887,85.024002
22.000,0.889,85.615997
22.100,0.891,86.031998
22.200,0.894,86.836006
22.300,0.896,87.732002
22.400,0.899,88.528000
22.500,0.901,89.228004
22.600,0.904,89.924004
22.700,0.906,90.528000
22.800,0.909,91.224007
22.900,0.911,91.824005
23.000,0.914,92.424004
23.100,0.916,93.036003
23.200,0.919,93.928001
23.300,0.922,94.647995
23.400,0.924,95.856003
23.500,0.927,97.256004
23.600,0.930,98.667999
23.700,0.933,100.375999
23.800,0.935,102.272003
23.900,0.938,104.068001
24.000,0.941,105.768005
24.100,0.944,107.468002
24.200,0.947,109.171997
24.300,0.950,110.964005
24.400,0.953,112.552002
24.500,0.957,113.852005
24.600,0.960,115.139999
24.700,0.963,116.131996
24.800,0.966,116.940002
24.900,0.970,117.735001
25.000,0.973,118.430000
25.100,0.976,119.044998
25.200,0.979,119.959999
25.300,0.983,121.150002
25.400,0.986,122.165001
25.500,0.990,123.465004
25.600,0.993,124.755005
25.700,0.997,125.865005
25.800,1.000,127.159996
25.900,1.004,128.355011
26.000,1.007,129.460007
26.100,1.011,130.654999
26.200,1.015,131.755005
26.300,1.018,132.855011
26.400,1.022,133.950012
26.500,1.026,134.955002
26.600,1.030,136.050003
26.700,1.033,137.050003
26.800,1.037,138.054993
26.900,1.041,139.150009
27.000,1.045,140.150009
27.100,1.049,141.150009
27.200,1.053,142.154999
27.300,1.057,143.250000
27.400,1.061,144.250000
27.500,1.065,145.250000
27.600,1.069,146.244995
27.700,1.073,147.150009
27.800,1.077,148.145004
27.900,1.081,149.044998
28.000,1.085,149.945007
28.100,1.090,150.850006
28.200,1.094,151.845001
28.300,1.098,152.744995
28.400,1.102,153.650009
28.500,1.107,154.650009
28.600,1.111,155.654007
28.700,1.115,156.565994
28.800,1.120,157.648010
28.900,1.124,158.442017
29.000,1.129,159.141998
29.100,1.133,159.824005
29.200,1.137,160.205994
29.300,1.142,160.318008
29.400,1.146,160.606003
29.500,1.151,160.711990
29.600,1.155,160.930008
29.700,1.160,161.436005
29.800,1.164,162.035995
29.900,1.169,162.654007
30.000,1.173,163.554001
30.100,1.178,164.448013
30.200,1.182,165.248001
30.300,1.187,166.048004
30.400,1.192,166.848007
30.500,1.196,167.648010
30.600,1.201,168.448013
30.700,1.206,169.248001
30.800,1.210,170.048004
30.900,1.215,170.848007
31.000,1.220,171.648010
31.100,1.225,172.448013
31.200,1.230,173.248001
31.300,1.234,174.054001
31.400,1.239,174.948013
31.500,1.244,175.748001
31.600,1.249,176.548004
31.700,1.254,177.354004
31.800,1.259,178.248001
31.900,1.264,179.054001
32.000,1.269,179.948013
32.100,1.274,180.753998
32.200,1.279,181.654007
32.300,1.284,182.554001
32.400,1.289,183.463013
32.500,1.294,184.356003
32.600,1.299,185.156006
32.700,1.305,185.963013
32.800,1.310,186.856003
32.900,1.315,187.663010
33.000,1.320,188.556000
33.100,1.326,189.356003
33.200,1.331,190.156006
33.300,1.336,190.956009
33.400,1.341,191.748993
33.500,1.347,192.456009
33.600,1.352,193.248993
33.700,1.358,193.956009
33.800,1.363,194.742004
33.900,1.368,195.348999
34.000,1.374,196.048996
34.100,1.379,196.727997
34.200,1.385,197.135010
34.300,1.390,197.613998
34.400,1.396,197.802338
34.500,1.401,197.835678
34.600,1.407,197.869003
34.700,1.412,197.893005
34.800,1.418,197.807007
34.900,1.423,197.921005
35.000,1.429,198.220993
35.100,1.434,198.528000
35.200,1.440,198.942001
35.300,1.445,199.528000
35.400,1.451,199.935013
35.500,1.456,200.428009
35.600,1.462,200.820999
35.700,1.468,201.135010
35.800,1.473,201.621002
35.900,1.479,201.928009
36.000,1.484,202.320999
36.100,1.490,202.628006
36.200,1.496,203.024002
36.300,1.501,203.332001
36.400,1.507,203.723999
36.500,1.513,204.024002
36.600,1.518,204.332001
36.700,1.524,204.731995
36.800,1.530,205.132004
36.900,1.536,205.524002
37.000,1.541,205.832001
37.100,1.547,206.231995
37.200,1.553,206.632004
37.300,1.558,207.039993
37.400,1.564,207.563995
37.500,1.570,208.363998
37.600,1.576,209.139999
37.700,1.582,209.639999
37.800,1.587,210.124008
37.900,1.593,210.424011
38.000,1.599,210.723999
38.100,1.605,211.031998
38.200,1.611,211.424011
38.300,1.617,211.739990
38.400,1.623,212.272003
38.500,1.629,213.164001
38.600,1.635,213.948013
38.700,1.641,214.548004
38.800,1.646,215.164001
38.900,1.652,215.964005
39.000,1.659,216.763992
39.100,1.665,217.531998
39.200,1.671,217.932007
39.300,1.677,218.316010
39.400,1.683,218.516006
39.500,1.689,218.716003
39.600,1.695,218.932007
39.700,1.701,219.316010
39.800,1.707,219.516006
39.900,1.713,219.748001
40.000,1.719,220.363007
40.100,1.726,221.044998
40.200,1.732,221.572006
40.300,1.738,222.345001
40.400,1.744,222.835999
40.500,1.750,223.226990
40.600,1.756,223.535995
40.700,1.763,223.954010
40.800,1.769,224.535995
40.900,1.775,224.945007
41.000,1.781,225.445007
41.100,1.788,225.936005
41.200,1.794,226.345001
41.300,1.800,226.835999
41.400,1.807,227.244995
41.500,1.813,227.735992
41.600,1.819,228.136002
41.700,1.826,228.535995
41.800,1.832,228.945007
41.900,1.838,229.436005
42.000,1.845,229.835999
42.100,1.851,230.244995
42.200,1.858,230.735992
42.300,1.864,231.145004
42.400,1.870,231.636002
42.500,1.877,232.044998
42.600,1.883,232.535995
42.700,1.890,232.936005
42.800,1.896,233.345001
42.900,1.903,233.835999
43.000,1.909,234.244995
43.100,1.916,234.718002
43.200,1.922,234.936005
43.300,1.929,235.291000
43.400,1.935,235.164001
43.500,1.942,234.746002
43.600,1.948,234.119003
43.700,1.955,233.192001
43.800,1.961,231.980011
43.900,1.968,230.740005
44.000,1.974,229.100006
44.100,1.980,227.119995
44.200,1.987,225.419998
44.300,1.993,224.500000
44.400,1.999,222.410004
44.500,2.005,219.480011
44.600,2.011,216.290009
44.700,2.017,213.149994
44.800,2.023,209.649994
44.900,2.029,206.169998
45.000,2.034,202.869995
45.100,2.040,199.540009
45.200,2.045,195.869995
45.300,2.051,191.630005
45.400,2.056,187.940002
45.500,2.061,184.349991
45.600,2.066,180.830002
45.700,2.071,177.139999
45.800,2.076,173.520004
45.900,2.080,169.710007
46.000,2.085,165.809998
46.100,2.090,161.889999
46.200,2.094,157.759995
46.300,2.098,153.389999
46.400,2.102,149.289993
46.500,2.106,145.190002
46.600,2.110,141.119995
46.700,2.114,137.319992
46.800,2.118,133.540009
46.900,2.121,129.949997
47.000,2.125,126.480003
47.100,2.128,123.290001
47.200,2.132,120.199997
47.300,2.135,117.239998
47.400,2.138,114.669998
47.500,2.141,112.400002
47.600,2.144,110.390999
47.700,2.147,108.557007
47.800,2.150,107.235001
47.900,2.153,105.768005
48.000,2.156,104.579002
48.100,2.159,103.457001
48.200,2.162,102.167999
48.300,2.165,100.968002
48.400,2.168,99.757004
48.500,2.170,98.468002
48.600,2.173,97.268005
48.700,2.176,96.068001
48.800,2.178,94.912003
48.900,2.181,94.123001
49.000,2.183,93.445000
49.100,2.186,92.977997
49.200,2.189,92.822006
49.300,2.191,93.022003
49.400,2.194,93.255005
49.500,2.196,93.766006
49.600,2.199,94.333000
49.700,2.202,94.632996
49.800,2.204,94.932999
49.900,2.207,95.211006
50.000,2.210,95.311005
50.100,2.212,95.396332
50.200,2.215,95.362999
50.300,2.218,95.329666
50.400,2.220,95.289001
50.500,2.223,95.178001
50.600,2.225,94.988998
50.700,2.228,94.845001
50.800,2.231,94.389000
50.900,2.233,94.311005
51.000,2.236,94.411003
51.100,2.239,94.511002
51.200,2.241,94.654999
51.300,2.244,95.154999
51.400,2.247,95.683998
51.500,2.249,96.384003
51.600,2.252,97.047997
51.700,2.255,97.459999
51.800,2.257,97.924004
51.900,2.260,98.087997
52.000,2.263,97.975998
52.100,2.266,97.812004
52.200,2.268,97.875999
52.300,2.271,97.736008
52.400,2.274,98.047997
52.500,2.276,98.472000
52.600,2.279,99.096001
52.700,2.282,99.920006
52.800,2.285,100.920006
52.900,2.288,101.931999
53.000,2.290,103.031998
53.100,2.293,104.143997
53.200,2.296,105.368004
53.300,2.299,106.743996
53.400,2.302,107.931999
53.500,2.305,109.043999
53.600,2.308,110.220001
53.700,2.311,111.220001
53.800,2.314,112.220001
53.900,2.318,113.220001
54.000,2.321,114.220001
54.100,2.324,115.232002
54.200,2.327,116.332001
54.300,2.331,117.456001
54.400,2.334,118.827995
54.500,2.337,120.751999
54.600,2.341,122.743996
54.700,2.344,123.944000
54.800,2.347,125.096001
54.900,2.351,125.896004
55.000,2.355,126.695999
55.100,2.358,127.508003
55.200,2.362,128.417007
55.300,2.365,129.343002
55.400,2.369,130.391006
55.500,2.373,131.065002
55.600,2.376,131.682007
55.700,2.380,133.303009
55.800,2.384,136.259995
55.900,2.387,138.156006
56.000,2.391,139.317001
56.100,2.395,140.269012
56.200,2.399,141.556015
56.300,2.403,142.769012
56.400,2.407,144.121002
56.500,2.411,145.847000
56.600,2.415,147.630005
56.700,2.419,148.630005
56.800,2.424,149.604004
56.900,2.428,150.378006
57.000,2.432,150.991013
57.100,2.436,151.717010
57.200,2.440,152.591003
57.300,2.445,153.304001
57.400,2.449,154.078003
57.500,2.453,154.652008
57.600,2.458,155.104004
57.700,2.462,156.020996
57.800,2.466,157.643005
57.900,2.471,158.652008
58.000,2.475,159.026001
58.100,2.480,159.304001
58.200,2.484,160.156006
58.300,2.488,161.330002
58.400,2.493,162.317001
58.500,2.498,163.230011
58.600,2.502,164.217010
58.700,2.507,165.130005
58.800,2.511,166.117004
58.900,2.516,167.017014
59.000,2.521,167.940002
59.100,2.525,168.925995
59.200,2.530,169.839996
59.300,2.535,170.839996
59.400,2.540,171.826004
59.500,2.544,172.725998
59.600,2.549,173.639999
59.700,2.554,174.626007
59.800,2.559,175.540009
59.900,2.564,176.554001
60.000,2.569,177.639999
60.100,2.574,178.556000
60.200,2.579,178.998016
60.300,2.584,179.557999
60.400,2.589,179.160004
60.500,2.594,178.089996
60.600,2.598,176.561996
60.700,2.603,174.848007
60.800,2.608,172.893997
60.900,2.613,169.938004
61.000,2.617,166.638000
61.100,2.622,163.380005
61.200,2.626,160.365997
61.300,2.631,157.181992
61.400,2.635,153.453995
61.500,2.639,149.568008
