Time,Distance,GPS_Speed
0.000,0.000,158.544006
0.100,0.004,158.945007
0.200,0.009,159.712006
0.300,0.013,160.690002
0.400,0.018,161.690002
0.500,0.022,163.669006
0.600,0.027,165.145996
0.700,0.032,166.367996
0.800,0.036,167.468002
0.900,0.041,168.656006
1.000,0.046,169.591995
1.100,0.050,170.580002
1.200,0.055,171.580002
1.300,0.060,172.580002
1.400,0.065,173.580002
1.500,0.070,174.492004
1.600,0.074,175.480011
1.700,0.079,176.391998
1.800,0.084,177.380005
1.900,0.089,178.292007
2.000,0.094,179.192001
2.100,0.099,180.091995
2.200,0.104,180.895996
2.300,0.109,181.695999
2.400,0.114,182.582993
2.500,0.119,183.395996
2.600,0.124,184.283005
2.700,0.130,185.095993
2.800,0.135,185.983002
2.900,0.140,186.882996
3.000,0.145,187.869995
3.100,0.150,188.783005
3.200,0.156,189.509003
3.300,0.161,190.209000
3.400,0.166,190.996002
3.500,0.172,191.709000
3.600,0.177,192.496002
3.700,0.182,193.374008
3.800,0.188,194.360001
3.900,0.193,195.274002
4.000,0.199,196.174011
4.100,0.204,197.074005
4.200,0.210,198.059998
4.300,0.215,198.973999
4.400,0.221,199.788010
4.500,0.226,200.502014
4.600,0.232,201.201996
4.700,0.237,201.988007
4.800,0.243,202.701996
4.900,0.249,203.402008
5.000,0.254,204.445999
5.100,0.260,204.944000
5.200,0.266,205.340012
5.300,0.271,205.654999
5.400,0.277,204.934998
5.500,0.283,203.610016
5.600,0.288,201.700012
5.700,0.294,198.934998
5.800,0.299,195.524994
5.900,0.305,192.449997
6.000,0.310,188.684998
6.100,0.315,184.955002
6.200,0.320,181.255005
6.300,0.325,177.470001
6.400,0.330,173.839996
6.500,0.335,170.070007
6.600,0.339,166.476013
6.700,0.344,162.876007
6.800,0.348,159.360001
6.900,0.352,156.195999
7.000,0.357,153.432007
7.100,0.361,150.816010
7.200,0.365,148.636002
7.300,0.369,146.787994
7.400,0.373,144.904007
7.500,0.377,143.423996
7.600,0.381,142.024002
7.700,0.385,140.624008
7.800,0.389,139.475998
7.900,0.393,138.292007
8.000,0.396,137.260010
8.100,0.400,136.186996
8.200,0.404,135.169998
8.300,0.408,134.253006
8.400,0.411,133.270004
8.500,0.415,132.186996
8.600,0.419,131.169998
8.700,0.422,130.087006
8.800,0.426,129.070007
8.900,0.429,128.153000
9.000,0.433,127.252998
9.100,0.437,126.436005
9.200,0.440,125.802002
9.300,0.443,125.285004
9.400,0.447,124.868004
9.500,0.450,124.636002
9.600,0.454,124.436005
9.700,0.457,124.236008
9.800,0.461,124.036003
9.900,0.464,123.959000
10.000,0.468,123.909004
10.100,0.471,124.146004
10.200,0.475,124.445999
10.300,0.478,124.828003
10.400,0.481,125.473999
10.500,0.485,126.337997
10.600,0.489,127.237999
10.700,0.492,128.220001
10.800,0.496,129.220016
10.900,0.499,130.220016
11.000,0.503,131.291000
11.100,0.507,132.391006
11.200,0.510,133.410004
11.300,0.514,134.410004
11.400,0.518,135.490997
11.500,0.522,136.591003
11.600,0.525,137.772003
11.700,0.529,138.972000
11.800,0.533,140.172012
11.900,0.537,141.372009
12.000,0.541,142.653015
12.100,0.545,143.872009
12.200,0.549,145.153015
12.300,0.553,146.372009
12.400,0.557,147.572006
12.500,0.561,148.759995
12.600,0.565,149.959991
12.700,0.570,151.160004
12.800,0.574,152.360001
12.900,0.578,153.479996
13.000,0.582,154.740005
13.100,0.587,155.720001
13.200,0.591,156.539993
13.300,0.596,157.180008
13.400,0.600,157.699997
13.500,0.604,158.040009
13.600,0.609,158.340012
13.700,0.613,158.639999
13.800,0.618,158.940002
13.900,0.622,159.237000
14.000,0.626,159.852997
14.100,0.631,160.395004
14.200,0.635,160.816010
14.300,0.640,161.216003
14.400,0.644,161.458008
14.500,0.649,161.579010
14.600,0.653,161.520996
14.700,0.658,161.341995
14.800,0.662,161.063004
14.900,0.667,160.763000
15.000,0.671,160.384003
15.100,0.676,159.984009
15.200,0.680,159.663010
15.300,0.684,159.283997
15.400,0.689,159.044006
15.500,0.693,158.844009
15.600,0.698,158.644012
15.700,0.702,158.444016
15.800,0.706,158.244003
15.900,0.711,158.225998
16.000,0.715,158.259338
16.100,0.720,158.292664
16.200,0.724,158.534012
16.300,0.728,158.834015
16.400,0.733,159.056000
16.500,0.737,159.567993
16.600,0.742,159.778000
16.700,0.746,159.644012
16.800,0.751,159.365997
16.900,0.755,158.607010
17.000,0.759,157.014008
17.100,0.764,155.291016
17.200,0.768,153.205994
17.300,0.772,150.466995
17.400,0.776,147.875000
17.500,0.780,145.375000
17.600,0.784,142.567001
17.700,0.788,139.436005
17.800,0.792,136.313004
17.900,0.795,133.367004
18.000,0.799,130.466995
18.100,0.803,127.413002
18.200,0.806,124.236000
18.300,0.809,120.992004
18.400,0.813,117.388000
18.500,0.816,113.916000
18.600,0.819,110.363998
18.700,0.822,106.535995
18.800,0.825,102.636002
18.900,0.827,99.420006
19.000,0.830,95.963997
19.100,0.833,93.048004
19.200,0.835,91.184006
19.300,0.838,90.116005
19.400,0.840,88.608002
19.500,0.843,87.136002
19.600,0.845,85.736000
19.700,0.847,84.412003
19.800,0.850,83.275002
19.900,0.852,82.400002
20.000,0.854,82.050003
20.100,0.856,81.850006
20.200,0.859,81.875000
20.300,0.861,82.125000
20.400,0.863,82.275002
20.500,0.866,82.375000
20.600,0.868,82.375000
20.700,0.870,82.341667
20.800,0.872,82.308334
20.900,0.875,82.224998
21.000,0.877,82.125000
21.100,0.879,82.175003
21.200,0.882,82.348000
21.300,0.884,82.547997
21.400,0.886,82.895996
21.500,0.888,83.222000
21.600,0.891,83.596001
21.700,0.893,84.218002
21.800,0.896,84.844002
21.900,0.898,85.666000
22.000,0.900,86.492004
22.100,0.903,87.514000
22.200,0.905,88.762001
22.300,0.908,89.987999
22.400,0.910,91.336006
22.500,0.913,92.810005
22.600,0.915,94.310005
22.700,0.918,95.868004
22.800,0.921,97.468002
22.900,0.924,98.995003
23.000,0.926,100.495003
23.100,0.929,102.068001
23.200,0.932,103.667999
23.300,0.935,105.268005
23.400,0.938,106.868004
23.500,0.941,108.395004
23.600,0.944,109.968002
23.700,0.947,111.568001
23.800,0.950,113.241005
23.900,0.953,114.576004
24.000,0.957,115.776001
24.100,0.960,116.830002
24.200,0.963,117.748001
24.300,0.966,118.504005
24.400,0.970,119.348000
24.500,0.973,120.176003
24.600,0.976,121.048004
24.700,0.980,122.380005
24.800,0.983,124.168007
24.900,0.987,125.420006
25.000,0.990,126.420006
25.100,0.994,127.420006
25.200,0.997,128.419998
25.300,1.001,129.419998
25.400,1.005,130.276001
25.500,1.008,131.076004
25.600,1.012,131.938995
25.700,1.016,132.697006
25.800,1.019,133.326004
25.900,1.023,134.352005
26.000,1.027,136.262009
26.100,1.031,138.107010
26.200,1.034,139.310013
26.300,1.038,140.097000
26.400,1.042,141.152008
26.500,1.046,142.210007
26.600,1.050,143.210007
26.700,1.054,144.281006
26.800,1.058,145.310013
26.900,1.062,146.238998
27.000,1.066,147.210007
27.100,1.070,148.130005
27.200,1.075,149.029999
27.300,1.079,149.929993
27.400,1.083,150.830002
27.500,1.087,151.660004
27.600,1.091,152.529999
27.700,1.096,153.429993
27.800,1.100,154.330002
27.900,1.104,155.229996
28.000,1.109,156.130005
28.100,1.113,157.029999
28.200,1.117,157.929993
28.300,1.122,158.830002
28.400,1.126,159.589996
28.500,1.131,160.352005
28.600,1.135,160.945007
28.700,1.140,161.307007
28.800,1.144,161.538010
28.900,1.149,161.876007
29.000,1.153,162.069000
29.100,1.158,162.376007
29.200,1.162,162.845001
29.300,1.167,163.414001
29.400,1.171,164.013992
29.500,1.176,164.959000
29.600,1.180,165.852005
29.700,1.185,166.652008
29.800,1.190,167.451996
29.900,1.194,168.251999
30.000,1.199,168.975998
30.100,1.204,169.744003
30.200,1.208,170.544006
30.300,1.213,171.276001
30.400,1.218,172.044006
30.500,1.223,172.776001
30.600,1.228,173.544006
30.700,1.232,174.344009
30.800,1.237,175.076004
30.900,1.242,175.912003
31.000,1.247,176.744003
31.100,1.252,177.612000
31.200,1.257,178.444000
31.300,1.262,179.244003
31.400,1.267,180.112000
31.500,1.272,180.936005
31.600,1.277,181.803009
31.700,1.282,182.703003
31.800,1.287,183.535995
31.900,1.292,184.403000
32.000,1.297,185.303009
32.100,1.303,186.136002
32.200,1.308,187.003006
32.300,1.313,187.835999
32.400,1.318,188.636002
32.500,1.324,189.436005
32.600,1.329,190.235992
32.700,1.334,191.035995
32.800,1.339,191.835999
32.900,1.345,192.562012
33.000,1.350,193.328003
33.100,1.355,194.062012
33.200,1.361,194.761993
33.300,1.366,195.462006
33.400,1.372,196.029999
33.500,1.377,196.596008
33.600,1.383,196.998001
33.700,1.388,197.232010
33.800,1.394,197.333008
33.900,1.399,197.383011
34.000,1.405,197.334000
34.100,1.410,197.366013
34.200,1.416,197.532013
34.300,1.421,197.732010
34.400,1.427,197.995010
34.500,1.432,198.490005
34.600,1.438,198.960007
34.700,1.443,199.360001
34.800,1.449,199.760010
34.900,1.454,200.095001
35.000,1.460,200.460007
35.100,1.465,200.860001
35.200,1.471,201.195007
35.300,1.477,201.559998
35.400,1.482,201.895004
35.500,1.488,202.260010
35.600,1.493,202.595001
35.700,1.499,202.895004
35.800,1.505,203.192001
35.900,1.510,203.556000
36.000,1.516,203.891998
36.100,1.522,204.256012
36.200,1.527,204.656006
36.300,1.533,204.992004
36.400,1.539,205.356003
36.500,1.544,205.820007
36.600,1.550,206.256012
36.700,1.556,206.656006
36.800,1.562,207.056000
36.900,1.567,207.456009
37.000,1.573,207.920013
37.100,1.579,208.356003
37.200,1.585,208.820007
37.300,1.591,209.315002
37.400,1.596,209.878006
37.500,1.602,210.415009
37.600,1.608,210.977997
37.700,1.614,211.514999
37.800,1.620,212.014999
37.900,1.626,212.578003
38.000,1.632,213.178009
38.100,1.638,213.715012
38.200,1.644,214.278000
38.300,1.650,214.815002
38.400,1.655,215.315002
38.500,1.661,215.878006
38.600,1.667,216.415009
38.700,1.674,216.915009
38.800,1.680,217.410004
38.900,1.686,217.910004
39.000,1.692,218.410004
39.100,1.698,218.910004
39.200,1.704,219.348007
39.300,1.710,219.748001
39.400,1.716,220.148010
39.500,1.722,220.548004
39.600,1.728,221.009995
39.700,1.734,221.572006
39.800,1.741,222.234009
39.900,1.747,222.809998
40.000,1.753,223.248001
40.100,1.759,223.710007
40.200,1.765,224.205002
40.300,1.772,224.644012
40.400,1.778,224.983002
40.500,1.784,225.283005
40.600,1.790,225.583008
40.700,1.797,225.882996
40.800,1.803,226.182999
40.900,1.809,226.483002
41.000,1.816,226.722000
41.100,1.822,227.044006
41.200,1.828,227.565994
41.300,1.835,228.104996
41.400,1.841,228.666000
41.500,1.847,229.327011
41.600,1.854,229.966003
41.700,1.860,230.440002
41.800,1.866,230.780014
41.900,1.873,231.139999
42.000,1.879,231.539993
42.100,1.886,231.880005
42.200,1.892,232.240005
42.300,1.899,232.580002
42.400,1.905,232.940002
42.500,1.912,233.339996
42.600,1.918,233.740005
42.700,1.925,234.139999
42.800,1.931,234.539993
42.900,1.938,234.880005
43.000,1.944,235.180008
43.100,1.951,235.240005
43.200,1.957,235.082001
43.300,1.964,234.705002
43.400,1.970,233.910004
43.500,1.977,232.733002
43.600,1.983,231.197006
43.700,1.989,229.143005
43.800,1.996,226.548004
43.900,2.002,223.866013
44.000,2.008,221.324997
44.100,2.014,218.529999
44.200,2.020,215.117004
44.300,2.026,211.240005
44.400,2.032,207.240005
44.500,2.037,203.003998
44.600,2.043,198.706009
44.700,2.048,194.290009
44.800,2.053,189.732010
44.900,2.059,185.306000
45.000,2.064,181.005997
45.100,2.069,176.706009
45.200,2.073,172.522003
45.300,2.078,168.538010
45.400,2.083,164.696014
45.500,2.087,160.896011
45.600,2.091,157.154007
45.700,2.096,153.454010
45.800,2.100,149.870010
45.900,2.104,146.312012
46.000,2.108,142.828003
46.100,2.112,139.462006
46.200,2.115,136.005005
46.300,2.119,132.505005
46.400,2.123,129.061996
46.500,2.126,125.604996
46.600,2.130,122.219002
46.700,2.133,118.975998
46.800,2.136,115.889999
46.900,2.139,113.003998
47.000,2.142,110.375000
47.100,2.145,107.988998
47.200,2.148,105.917000
47.300,2.151,104.130997
47.400,2.154,102.431000
47.500,2.157,100.916000
47.600,2.160,99.571999
47.700,2.162,98.328003
47.800,2.165,97.240005
47.900,2.168,96.240005
48.000,2.170,95.352005
48.100,2.173,94.608002
48.200,2.176,93.964005
48.300,2.178,93.420006
48.400,2.181,92.920006
48.500,2.183,92.476006
48.600,2.186,92.132004
48.700,2.188,91.888000
48.800,2.191,91.744003
48.900,2.194,91.728004
49.000,2.196,91.777504
49.100,2.199,91.910004
49.200,2.201,92.055000
49.300,2.204,92.264999
49.400,2.206,92.455002
49.500,2.209,92.610001
49.600,2.211,92.810005
49.700,2.214,93.010002
49.800,2.217,93.209999
49.900,2.219,93.410004
50.000,2.222,93.610001
50.100,2.224,93.919998
50.200,2.227,94.320000
50.300,2.230,94.720001
50.400,2.232,95.230003
50.500,2.235,95.931999
50.600,2.238,96.678001
50.700,2.240,97.431999
50.800,2.243,98.232002
50.900,2.246,98.978004
51.000,2.249,99.732002
51.100,2.251,100.424004
51.200,2.254,101.078003
