Time,Distance,RPM
0.000,0.000,5955.899902
0.100,0.004,5761.799805
0.200,0.009,5219.000000
0.300,0.013,5185.459961
0.400,0.018,5235.959961
0.500,0.022,5306.580078
0.600,0.027,5296.240234
0.700,0.032,5379.299805
0.800,0.036,5418.240234
0.900,0.041,5375.879883
1.000,0.045,5429.879883
1.100,0.050,5468.240234
1.200,0.055,5487.620117
1.300,0.060,5507.600098
1.400,0.064,5552.100098
1.500,0.069,5559.859863
1.600,0.074,5592.339844
1.700,0.079,5679.240234
1.800,0.084,5674.140137
1.900,0.089,5674.000000
2.000,0.094,5750.229980
2.100,0.099,5695.560059
2.200,0.104,5764.299805
2.300,0.109,5894.689941
2.400,0.114,5788.089844
2.500,0.119,5873.129883
2.600,0.124,5880.930176
2.700,0.129,5917.629883
2.800,0.134,5911.069824
2.900,0.140,5940.700195
3.000,0.145,5970.700195
3.100,0.150,6016.540039
3.200,0.155,5986.310059
3.300,0.160,6039.459961
3.400,0.166,6157.810059
3.500,0.171,6018.419922
3.600,0.176,6117.979980
3.700,0.182,6322.939941
3.800,0.187,6128.979980
3.900,0.192,6158.680176
4.000,0.198,6215.430176
4.100,0.203,6216.000000
4.200,0.209,6249.660156
4.300,0.214,6299.500000
4.400,0.220,6275.250000
4.500,0.225,6011.660156
4.600,0.231,6206.009766
4.700,0.237,6096.129883
4.800,0.242,6025.700195
4.900,0.248,5753.740234
5.000,0.253,5744.069824
5.100,0.259,5614.310059
5.200,0.265,5527.859863
5.300,0.270,5539.870117
5.400,0.275,5527.129883
5.500,0.281,5450.770020
5.600,0.286,5363.870117
5.700,0.291,5158.069824
5.800,0.296,5173.000000
5.900,0.301,5106.000000
6.000,0.306,4955.000000
6.100,0.311,5219.000000
6.200,0.316,5351.000000
6.300,0.321,5320.000000
6.400,0.326,5634.000000
6.500,0.330,5607.000000
6.600,0.335,5463.000000
6.700,0.339,5320.000000
6.800,0.343,5117.000000
6.900,0.348,5078.000000
7.000,0.352,4913.000000
7.100,0.356,5018.000000
7.200,0.360,5045.000000
7.300,0.364,4939.000000
7.400,0.368,4939.000000
7.500,0.372,4949.000000
7.600,0.375,4908.000000
7.700,0.379,4877.000000
7.800,0.383,4857.000000
7.900,0.387,4939.000000
8.000,0.390,4893.000000
8.100,0.394,4944.000000
8.200,0.397,4944.000000
8.300,0.401,4898.000000
8.400,0.405,4908.000000
8.500,0.408,4857.000000
8.600,0.412,4802.000000
8.700,0.415,4847.000000
8.800,0.419,4877.000000
8.900,0.422,4812.000000
9.000,0.426,4827.000000
9.100,0.429,4817.000000
9.200,0.433,4802.000000
9.300,0.436,4817.000000
9.400,0.440,4852.000000
9.500,0.443,4877.000000
9.600,0.447,4872.259766
9.700,0.450,4898.049805
9.800,0.454,4903.049805
9.900,0.457,4908.939941
10.000,0.461,5001.740234
10.100,0.464,4976.910156
10.200,0.468,5066.140137
10.300,0.471,4977.640137
10.400,0.475,4646.669922
10.500,0.478,4812.810059
10.600,0.482,4893.879883
10.700,0.485,4980.890137
10.800,0.489,4970.109863
10.900,0.492,4981.750000
11.000,0.496,5056.549805
11.100,0.499,5111.740234
11.200,0.503,5184.879883
11.300,0.506,5173.060059
11.400,0.510,5179.930176
11.500,0.513,5272.240234
11.600,0.517,5296.609863
11.700,0.521,5357.299805
11.800,0.524,5386.939941
11.900,0.528,5382.069824
12.000,0.532,5488.259766
12.100,0.536,5514.589844
12.200,0.540,5573.270020
12.300,0.543,5600.339844
12.400,0.547,5634.399902
12.500,0.551,5674.490234
12.600,0.555,5723.560059
12.700,0.559,5779.220215
12.800,0.563,5801.509766
12.900,0.568,5852.589844
13.000,0.572,5911.370117
13.100,0.576,5948.229980
13.200,0.580,5971.459961
13.300,0.584,6017.470215
13.400,0.588,6064.620117
13.500,0.593,6095.000000
13.600,0.597,6088.540039
13.700,0.601,5775.379883
13.800,0.606,5939.359863
13.900,0.610,5857.700195
14.000,0.614,5790.919922
14.100,0.619,5637.359863
14.200,0.623,5505.220215
14.300,0.628,5367.899902
14.400,0.632,5316.979980
14.500,0.636,5462.620117
14.600,0.640,5443.120117
14.700,0.645,5399.620117
14.800,0.649,5384.439941
14.900,0.653,5551.580078
15.000,0.657,5481.879883
15.100,0.661,5476.000000
15.200,0.665,5475.740234
15.300,0.669,5463.500000
15.400,0.673,5488.779785
15.500,0.677,5527.399902
15.600,0.680,5549.680176
15.700,0.684,5680.180176
15.800,0.688,5640.560059
15.900,0.692,5668.540039
16.000,0.696,5695.000000
16.100,0.700,5696.120117
16.200,0.704,5752.000000
16.300,0.708,5801.580078
16.400,0.712,5832.060059
16.500,0.716,5933.000000
16.600,0.720,5932.259766
16.700,0.724,5895.120117
16.800,0.729,5853.180176
16.900,0.733,5912.660156
17.000,0.737,5984.919922
17.100,0.741,5544.939941
17.200,0.745,5780.399902
17.300,0.750,5561.600098
17.400,0.754,5384.810059
17.500,0.758,5309.259766
17.600,0.762,5152.040039
17.700,0.766,5015.450195
17.800,0.771,4736.060059
17.900,0.775,4665.450195
18.000,0.779,5457.350098
18.100,0.783,5502.379883
18.200,0.786,5550.209961
18.300,0.790,5653.189941
18.400,0.794,5627.810059
18.500,0.797,5652.169922
18.600,0.801,5587.779785
18.700,0.804,5417.319824
18.800,0.807,5357.660156
18.900,0.811,5179.209961
19.000,0.814,4991.520020
19.100,0.817,4973.660156
19.200,0.820,4890.979980
19.300,0.823,4665.979980
19.400,0.825,4729.700195
19.500,0.828,4717.479980
19.600,0.831,4635.040039
19.700,0.834,4605.799805
